City,Local_Time,Temperature,Condition,Scraped_At,Hemisphere
Accra,Wed 8:55 pm,79.0,Edmonton *,2026-06-03 13:55:25,Northern
Addis Ababa,Wed 11:55 pm,66.0,Frankfurt *,2026-06-03 13:55:25,Northern
Adelaide,Thu 6:25 am,50.0,Guatemala City,2026-06-03 13:55:25,Northern
Algiers,Wed 9:55 pm,74.0,Halifax *,2026-06-03 13:55:25,Northern
Almaty,Thu 1:55 am,68.0,Hanoi,2026-06-03 13:55:25,Northern
Amman,Wed 11:55 pm,72.0,Harare,2026-06-03 13:55:25,Northern
Amsterdam,Wed 10:55 pm,61.0,Havana *,2026-06-03 13:55:25,Northern
Anadyr,Thu 8:55 am,45.0,Helsinki *,2026-06-03 13:55:25,Northern
Anchorage,Wed 12:55 pm,69.0,Hong Kong,2026-06-03 13:55:25,Northern
Ankara,Wed 11:55 pm,61.0,Honolulu,2026-06-03 13:55:25,Northern
Antananarivo,Wed 11:55 pm,55.0,Houston *,2026-06-03 13:55:25,Northern
Asuncion,Wed 5:55 pm,79.0,Indianapolis *,2026-06-03 13:55:26,Northern
Athens,Wed 11:55 pm,77.0,Islamabad,2026-06-03 13:55:26,Northern
Atlanta,Wed 4:55 pm,78.0,Istanbul,2026-06-03 13:55:26,Northern
Auckland,Thu 8:55 am,55.0,Jakarta,2026-06-03 13:55:26,Northern
Baghdad,Wed 11:55 pm,106.0,Jerusalem *,2026-06-03 13:55:26,Northern
Bangkok,Thu 3:55 am,84.0,Johannesburg,2026-06-03 13:55:26,Northern
Barcelona,Wed 10:55 pm,72.0,Karachi,2026-06-03 13:55:26,Northern
Beijing,Thu 4:55 am,63.0,Kathmandu,2026-06-03 13:55:26,Northern
Belgrade,Wed 10:55 pm,63.0,Kingston,2026-06-03 13:55:26,Northern
Bengaluru,Thu 2:25 am,72.0,Kinshasa,2026-06-03 13:55:26,Northern
Berlin,Wed 10:55 pm,61.0,Kiritimati,2026-06-03 13:55:26,Northern
Bogota,Wed 3:55 pm,68.0,Kolkata,2026-06-03 13:55:26,Northern
Boston,Wed 4:55 pm,74.0,Kuala Lumpur,2026-06-03 13:55:26,Northern
Brasilia,Wed 5:55 pm,75.0,Kuwait City,2026-06-03 13:55:26,Northern
Brisbane,Thu 6:55 am,56.0,Kyiv *,2026-06-03 13:55:26,Northern
Brussels,Wed 10:55 pm,61.0,La Paz,2026-06-03 13:55:26,Northern
Bucharest,Wed 11:55 pm,64.0,Lagos,2026-06-03 13:55:26,Northern
Budapest,Wed 10:55 pm,61.0,Lahore,2026-06-03 13:55:26,Northern
Buenos Aires,Wed 5:55 pm,59.0,Las Vegas *,2026-06-03 13:55:26,Southern
Cairo,Wed 11:55 pm,81.0,Lima,2026-06-03 13:55:26,Northern
Calgary,Wed 2:55 pm,61.0,Lisbon *,2026-06-03 13:55:26,Northern
Canberra,Thu 6:55 am,45.0,London *,2026-06-03 13:55:26,Northern
Cape Town,Wed 10:55 pm,59.0,Los Angeles *,2026-06-03 13:55:26,Southern
Caracas,Wed 4:55 pm,86.0,Madrid *,2026-06-03 13:55:26,Northern
Casablanca,Wed 9:55 pm,70.0,Managua,2026-06-03 13:55:27,Northern
Chicago,Wed 3:55 pm,81.0,Manila,2026-06-03 13:55:27,Northern
Copenhagen,Wed 10:55 pm,59.0,Melbourne,2026-06-03 13:55:27,Northern
Dallas,Wed 3:55 pm,89.0,Mexico City,2026-06-03 13:55:27,Northern
Dar es Salaam,Wed 11:55 pm,75.0,Miami *,2026-06-03 13:55:27,Northern
Darwin,Thu 6:25 am,70.0,Minneapolis *,2026-06-03 13:55:27,Northern
Denver,Wed 2:55 pm,78.0,Minsk,2026-06-03 13:55:27,Northern
Detroit,Wed 4:55 pm,79.0,Montevideo,2026-06-03 13:55:27,Northern
Dhaka,Thu 2:55 am,87.0,Montréal *,2026-06-03 13:55:27,Northern
Doha,Wed 11:55 pm,102.0,Moscow,2026-06-03 13:55:27,Northern
Dubai,Thu 12:55 am,90.0,Mumbai,2026-06-03 13:55:27,Northern
Dublin,Wed 9:55 pm,55.0,Nairobi,2026-06-03 13:55:27,Northern
